# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Feb 21 14:06:08 2018
#
# CONSTRAINT:  where (av_training_set like '%UNK%'
# CONSTRAINT:  and av_pred_class like '%PC%'
# CONSTRAINT:  )
# CONSTRAINT:  order by av_training_set desc, av_pred_class asc
#
# COLUMN kepid:          KepID
# COLUMN tce_plnt_num:   Planet Number
# COLUMN av_training_set: Autovetter Training Set Label
# COLUMN av_pred_class:  Autovetter Predicted Classification
#
rowid,kepid,tce_plnt_num,av_training_set,av_pred_class
4695,5442451,2,NTP,NTP
4696,5442481,1,UNK,NTP
4697,5443410,1,UNK,NTP
4698,5459805,3,AFP,AFP
4699,5460434,1,AFP,AFP
4700,5460434,2,AFP,AFP
4701,5460835,1,AFP,AFP
4702,5123624,2,AFP,AFP
4703,5124254,1,AFP,AFP
4704,5124667,1,PC,PC
4705,5125048,1,AFP,AFP
4706,5179979,1,UNK,NTP
4707,5179979,2,AFP,AFP
4708,5179979,3,AFP,AFP
4709,5180524,1,UNK,NTP
4710,5200084,1,UNK,NTP
4711,5200521,1,UNK,NTP
4712,5200521,2,AFP,AFP
4713,5200521,3,AFP,AFP
4714,5214214,1,UNK,NTP
4715,5215251,1,AFP,AFP
4716,5215465,1,UNK,AFP
4717,5215508,1,UNK,NTP
4718,5257082,1,AFP,PC
4719,5262539,1,NTP,NTP
4720,5262664,1,NTP,NTP
4721,5262724,1,UNK,NTP
4722,5282051,1,AFP,AFP
4723,5282345,1,NTP,NTP
4724,5282477,1,UNK,AFP
4725,5282656,1,UNK,AFP
4726,5299904,1,UNK,NTP
4727,5299904,2,UNK,NTP
4728,5300878,1,UNK,AFP
4729,5301091,1,AFP,AFP
4730,5306862,1,AFP,AFP
4731,5306862,2,AFP,AFP
4732,5307271,1,UNK,NTP
4733,5307568,1,AFP,AFP
4734,5354490,1,NTP,NTP
4735,5355850,1,UNK,NTP
4736,5355882,1,NTP,NTP
4737,5374403,1,PC,PC
4738,5374551,1,UNK,AFP
4739,5374838,1,PC,PC
4740,5374854,1,PC,PC
4741,4946956,2,AFP,AFP
4742,4947130,1,AFP,AFP
4743,4947130,2,UNK,NTP
4744,4947130,3,AFP,AFP
4745,4995716,1,UNK,PC
4746,4995948,1,AFP,AFP
4747,4995948,2,AFP,AFP
4748,5020065,1,UNK,NTP
4749,5020065,2,UNK,NTP
4750,5020319,1,PC,PC
4751,5020319,2,NTP,NTP
4752,5031882,1,UNK,NTP
4753,5033298,1,AFP,NTP
4754,5033823,1,PC,AFP
4755,5034039,1,AFP,AFP
4756,5078939,2,UNK,AFP
4757,5080346,1,AFP,AFP
4758,5080346,2,AFP,AFP
4759,5080636,1,PC,PC
4760,5103942,1,AFP,AFP
4761,5103942,2,AFP,AFP
4762,5103998,1,AFP,AFP
4763,5104153,1,UNK,NTP
4764,5125048,2,AFP,AFP
4765,5125347,1,PC,PC
4766,5126182,1,PC,PC
4767,5180796,1,UNK,NTP
4768,5180796,2,NTP,NTP
4769,5180796,3,NTP,NTP
4770,5181100,1,NTP,NTP
4771,5201115,1,AFP,AFP
4772,5201115,2,AFP,AFP
4773,5201593,1,AFP,AFP
4774,5201596,1,AFP,NTP
4775,5215632,1,UNK,NTP
4776,5215669,1,NTP,NTP
4777,5215672,1,AFP,AFP
4778,5215672,2,AFP,AFP
4779,5263167,1,UNK,PC
4780,5263732,1,NTP,NTP
4781,5263749,1,AFP,AFP
4782,5263749,2,UNK,NTP
4783,5283458,1,PC,PC
4784,5283542,1,AFP,PC
4785,5283728,1,PC,PC
4786,5284133,1,UNK,AFP
4787,5284217,1,UNK,NTP
4788,5301091,2,AFP,AFP
4789,5301101,1,UNK,NTP
4790,5301101,2,UNK,NTP
4791,5307574,1,UNK,AFP
4792,5307858,1,AFP,AFP
4793,5307990,1,AFP,AFP
4794,5308052,1,AFP,AFP
4795,5356349,1,UNK,NTP
4796,5356349,2,AFP,AFP
4797,5356349,3,AFP,AFP
4798,5356593,1,AFP,AFP
4799,4935813,2,AFP,AFP
4800,4935914,1,AFP,AFP
4801,4935914,2,AFP,AFP
4802,4936020,1,NTP,NTP
4803,4947556,1,UNK,PC
4804,4947556,2,PC,PC
4805,4947726,1,AFP,AFP
4806,4995953,1,UNK,NTP
4807,4996558,1,AFP,AFP
4808,5000179,1,NTP,NTP
4809,5000179,2,NTP,NTP
4810,5021024,1,NTP,NTP
4811,5021174,1,AFP,AFP
4812,5021174,2,UNK,AFP
4813,5021176,1,AFP,AFP
4814,5021176,2,AFP,AFP
4815,5034039,2,AFP,AFP
4816,5034333,1,AFP,AFP
4817,5034333,2,AFP,AFP
4818,5080636,2,AFP,AFP
4819,5080636,3,AFP,AFP
4820,5080652,1,UNK,AFP
4821,5083138,1,UNK,PC
4822,5106292,1,NTP,NTP
4823,5106313,1,PC,PC
4824,5108214,1,AFP,AFP
4825,5108514,1,AFP,AFP
4826,5126627,1,NTP,NTP
4827,5128673,1,PC,PC
4828,5128931,1,UNK,AFP
4829,5129453,1,PC,PC
4830,5181455,1,UNK,AFP
4831,5181455,2,UNK,AFP
4832,5181804,1,AFP,AFP
4833,5181804,2,UNK,AFP
4834,5201676,1,AFP,AFP
4835,5201695,1,AFP,NTP
4836,5201756,1,AFP,AFP
4837,5215700,1,AFP,AFP
4838,5215980,1,AFP,AFP
4839,5216727,1,UNK,AFP
4840,5217288,1,UNK,NTP
4841,5263749,3,AFP,AFP
4842,5263802,1,AFP,AFP
4843,5264304,1,AFP,AFP
4844,5284283,1,UNK,NTP
4845,5284779,1,AFP,AFP
4846,5284779,2,AFP,AFP
4847,5301101,3,AFP,AFP
4848,5301101,4,AFP,AFP
4849,5301474,1,UNK,NTP
4850,5301750,1,PC,PC
4851,5308052,2,AFP,AFP
4852,5308052,3,AFP,AFP
4853,5308296,1,PC,PC
4854,5308387,1,AFP,AFP
4855,5356593,2,AFP,AFP
4856,5356665,1,NTP,NTP
4857,5357470,1,AFP,AFP
4858,4936180,1,AFP,PC
4859,4936284,1,NTP,NTP
4860,4936524,1,NTP,NTP
4861,4936990,1,AFP,AFP
4862,4947726,2,AFP,AFP
4863,4948730,1,AFP,AFP
4864,4948730,2,AFP,AFP
4865,4948863,1,UNK,AFP
4866,5000179,3,UNK,NTP
4867,5000179,4,UNK,NTP
4868,5001655,1,AFP,AFP
4869,5002361,1,UNK,NTP
4870,5021286,1,UNK,NTP
4871,5021329,1,UNK,NTP
4872,5021432,1,NTP,NTP
4873,5021732,1,AFP,AFP
4874,5034333,3,UNK,NTP
4875,5034333,4,AFP,AFP
4876,5034333,5,AFP,AFP
4877,5035237,1,NTP,NTP
4878,5035849,1,NTP,NTP
4879,5083252,1,UNK,NTP
4880,5084171,1,PC,PC
4881,5084289,1,NTP,NTP
4882,5084942,1,PC,PC
4883,5108514,2,AFP,AFP
4884,5108514,3,AFP,AFP
4885,5108946,1,AFP,AFP
4886,5110034,1,AFP,AFP
4887,5129738,1,AFP,AFP
4888,5129738,2,AFP,AFP
4889,5130005,1,UNK,NTP
4890,5130369,1,AFP,AFP
4891,5181817,1,AFP,AFP
4892,5181845,1,UNK,NTP
4893,5182131,1,UNK,NTP
4894,5182451,1,NTP,NTP
4895,5201756,2,AFP,AFP
4896,5201872,1,NTP,NTP
4897,5202905,1,PC,PC
4898,5202905,2,PC,PC
4899,5217574,1,UNK,AFP
4900,5217586,1,AFP,AFP
4901,5217688,1,UNK,NTP
4902,5217733,1,AFP,AFP
4903,5217733,2,AFP,AFP
4904,5264304,2,AFP,AFP
4905,5264764,1,AFP,AFP
4906,5264764,2,AFP,AFP
4907,5264888,1,AFP,NTP
4908,5285359,1,UNK,NTP
4909,5285607,1,UNK,AFP
4910,5286045,1,AFP,AFP
4911,5286045,2,AFP,AFP
4912,5301750,2,PC,PC
4913,5301750,3,PC,PC
4914,5301750,4,PC,PC
4915,5301750,5,PC,PC
4916,5308419,1,AFP,AFP
4917,5308537,1,PC,PC
4918,5308663,1,AFP,AFP
4919,5308663,2,PC,PC
4920,5357470,2,AFP,AFP
4921,5357545,1,PC,PC
4922,5357901,1,PC,PC
4923,5358212,1,NTP,NTP
4924,4936990,2,AFP,AFP
4925,4937143,1,AFP,AFP
4926,4937143,2,AFP,AFP
4927,4937340,1,UNK,NTP
4928,4949027,1,AFP,AFP
4929,4949187,1,AFP,AFP
4930,4949187,2,AFP,AFP
4931,4949187,3,NTP,NTP
4932,5002361,2,NTP,NTP
4933,5002557,1,UNK,NTP
4934,5003117,1,AFP,AFP
4935,5021732,2,AFP,AFP
4936,5021737,1,AFP,AFP
4937,5021737,2,AFP,AFP
4938,5021899,1,PC,PC
4939,5035972,1,AFP,AFP
4940,5035972,2,AFP,AFP
4941,5036037,1,AFP,AFP
4942,5087223,1,NTP,NTP
4943,5088308,1,AFP,AFP
4944,5088308,2,AFP,AFP
4945,5110034,2,AFP,AFP
4946,5110038,1,UNK,NTP
4947,5110038,2,UNK,NTP
4948,5130369,2,AFP,AFP
4949,5130380,1,AFP,AFP
4950,5130380,2,AFP,AFP
4951,5183357,1,PC,PC
4952,5184472,1,UNK,NTP
4953,5184584,1,PC,PC
4954,5184709,1,AFP,AFP
4955,5202905,3,NTP,NTP
4956,5202905,4,NTP,NTP
4957,5206128,1,AFP,AFP
4958,5206128,2,AFP,AFP
4959,5217791,1,NTP,NTP
4960,5217891,1,AFP,AFP
4961,5217891,2,UNK,NTP
4962,5265212,1,NTP,NTP
4963,5265699,1,AFP,AFP
4964,5265699,2,AFP,AFP
4965,5266937,1,UNK,AFP
4966,5267721,1,AFP,AFP
4967,5286548,1,UNK,NTP
4968,5286780,1,AFP,AFP
4969,5286780,2,AFP,AFP
4970,5286786,1,AFP,AFP
4971,5301952,1,UNK,NTP
4972,5301955,1,UNK,NTP
4973,5302006,1,AFP,AFP
4974,5308666,1,AFP,AFP
4975,5308666,2,AFP,AFP
4976,5308777,1,AFP,AFP
4977,5358241,1,PC,PC
4978,5358241,2,PC,PC
4979,5358241,3,PC,PC
4980,5358323,1,UNK,NTP
4981,4937340,2,UNK,NTP
4982,4937379,1,UNK,NTP
4983,4937379,2,UNK,NTP
4984,4949214,1,UNK,AFP
4985,4949524,1,AFP,AFP
4986,4949751,1,AFP,AFP
4987,5003117,2,AFP,AFP
4988,5003342,1,AFP,AFP
4989,5003342,2,AFP,AFP
4990,5003670,1,PC,PC
4991,5022440,1,AFP,AFP
4992,5022440,2,AFP,AFP
4993,5022535,1,NTP,NTP
4994,5036037,2,AFP,AFP
4995,5036037,3,UNK,NTP
4996,5036480,1,AFP,AFP
4997,5036491,1,AFP,AFP
4998,5088400,1,PC,PC
4999,5088536,1,PC,PC
5000,5088536,2,PC,PC
5001,5088536,3,PC,PC
5002,5110423,1,AFP,AFP
5003,5111544,1,NTP,NTP
5004,5111801,1,UNK,NTP
5005,5112198,1,NTP,NTP
5006,5130472,1,UNK,NTP
5007,5130563,1,NTP,AFP
5008,5130740,1,AFP,AFP
5009,5130890,1,AFP,AFP
5010,5184863,1,NTP,NTP
5011,5184863,2,NTP,NTP
5012,5184911,1,PC,PC
5013,5184911,2,UNK,PC
5014,5206233,1,AFP,AFP
5015,5206233,2,UNK,AFP
5016,5206767,1,AFP,AFP
5017,5206767,2,AFP,AFP
5018,5217910,1,AFP,AFP
5019,5217910,2,AFP,AFP
5020,5218014,1,AFP,AFP
5021,5218014,2,AFP,AFP
5022,5267721,2,AFP,AFP
5023,5267867,1,UNK,NTP
5024,5267867,2,UNK,NTP
5025,5286786,2,AFP,AFP
5026,5287619,1,UNK,NTP
5027,5287983,1,AFP,AFP
5028,5302167,1,UNK,NTP
5029,5302556,1,NTP,NTP
5030,5302556,2,NTP,NTP
5031,5302643,1,AFP,AFP
5032,5308778,1,UNK,AFP
5033,5308780,1,AFP,AFP
5034,5308780,2,AFP,AFP
5035,5308851,1,UNK,NTP
5036,5358624,1,PC,PC
5037,5359678,1,UNK,AFP
5038,5360082,1,AFP,AFP
5039,4937435,1,AFP,AFP
5040,4937435,2,AFP,AFP
5041,4937872,1,UNK,NTP
5042,4937872,2,AFP,AFP
5043,4949769,1,AFP,AFP
5044,4949769,2,AFP,AFP
5045,4949795,1,AFP,AFP
5046,4949801,1,AFP,AFP
5047,5003670,2,UNK,PC
5048,5004705,1,NTP,NTP
5049,5004909,1,PC,PC
5050,5005121,1,PC,PC
5051,5022828,1,PC,PC
5052,5022900,1,UNK,AFP
5053,5022943,1,AFP,AFP
5054,5023338,1,AFP,AFP
5055,5036491,2,AFP,AFP
5056,5036491,3,UNK,NTP
5057,5036493,1,AFP,AFP
5058,5036493,2,AFP,AFP
5059,5088591,1,PC,PC
5060,5089498,1,AFP,AFP
5061,5089498,2,AFP,AFP
5062,5089498,3,AFP,AFP
5063,5112567,1,AFP,AFP
5064,5113053,1,AFP,AFP
5065,5113146,1,AFP,AFP
5066,5113557,1,AFP,AFP
5067,5113557,2,AFP,AFP
5068,5130890,2,AFP,AFP
5069,5130983,1,AFP,AFP
5070,5130983,2,AFP,AFP
5071,5131180,1,PC,PC
5072,5185032,1,AFP,AFP
5073,5185032,2,AFP,AFP
5074,5185153,1,AFP,AFP
5075,5207238,1,UNK,NTP
5076,5207238,2,UNK,NTP
5077,5207710,1,UNK,NTP
5078,5207966,1,AFP,AFP
5079,5218441,1,AFP,AFP
5080,5218441,2,UNK,AFP
5081,5218486,1,UNK,NTP
5082,5218618,1,NTP,NTP
5083,5268955,1,UNK,NTP
5084,5269407,1,UNK,AFP
5085,5269411,1,NTP,NTP
5086,5269467,1,PC,PC
5087,5287983,2,AFP,AFP
5088,5288019,1,NTP,NTP
5089,5288071,1,UNK,NTP
5090,5288071,2,NTP,NTP
5091,5302643,2,AFP,AFP
5092,5302643,3,AFP,AFP
5093,5302643,4,AFP,AFP
5094,5302881,1,UNK,NTP
5095,5308886,1,UNK,NTP
5096,5309078,1,UNK,NTP
5097,5309353,1,AFP,AFP
5098,5309353,2,AFP,AFP
5099,5360082,2,AFP,AFP
5100,5360920,1,PC,PC
5101,5360974,1,AFP,AFP
5102,5360974,2,AFP,AFP
5103,4937872,3,AFP,AFP
5104,4938281,1,AFP,AFP
5105,4938281,2,AFP,AFP
5106,4938281,3,AFP,AFP
5107,4949825,1,AFP,AFP
5108,4950232,1,AFP,AFP
5109,4950341,1,UNK,NTP
5110,4950557,1,UNK,AFP
5111,5005618,1,UNK,NTP
5112,5007345,1,PC,PC
5113,5007640,1,AFP,AFP
5114,5007640,2,AFP,AFP
5115,5023338,2,AFP,AFP
5116,5023338,3,AFP,AFP
5117,5023948,1,AFP,AFP
5118,5036516,1,AFP,AFP
5119,5036530,1,UNK,NTP
5120,5036530,2,UNK,NTP
5121,5036537,1,AFP,AFP
5122,5090286,1,NTP,NTP
5123,5090690,1,AFP,AFP
5124,5090937,1,NTP,NTP
5125,5091016,1,AFP,AFP
5126,5113794,1,UNK,NTP
5127,5113809,1,AFP,AFP
5128,5113809,2,AFP,AFP
5129,5131276,1,AFP,PC
5130,5164255,1,PC,PC
5131,5164458,1,NTP,NTP
5132,5164794,1,UNK,AFP
5133,5185153,2,AFP,AFP
5134,5185321,1,AFP,AFP
5135,5185321,2,AFP,AFP
5136,5185897,1,PC,PC
5137,5207966,2,AFP,AFP
5138,5208962,1,PC,AFP
5139,5209234,1,NTP,NTP
5140,5209234,2,AFP,AFP
5141,5209234,3,AFP,AFP
5142,5218835,1,NTP,NTP
5143,5219207,1,AFP,AFP
5144,5219207,2,AFP,AFP
5145,5269603,1,UNK,NTP
5146,5270698,1,AFP,AFP
5147,5270698,2,UNK,AFP
5148,5271090,1,NTP,NTP
5149,5288543,1,UNK,AFP
5150,5288570,1,AFP,AFP
5151,5288577,1,AFP,AFP
5152,5288937,1,AFP,AFP
5153,5303322,1,UNK,NTP
5154,5303346,1,AFP,AFP
5155,5303346,2,UNK,AFP
5156,5303551,1,AFP,AFP
5157,5309547,1,UNK,NTP
5158,5309796,1,AFP,AFP
5159,5309796,2,AFP,AFP
5160,5309849,1,UNK,NTP
5161,5361145,1,NTP,NTP
5162,5364071,1,PC,PC
5163,5364071,2,PC,PC
5164,5364071,3,PC,PC
5165,4938893,1,NTP,AFP
5166,4939265,1,UNK,PC
5167,4939281,1,UNK,NTP
5168,4950985,1,UNK,NTP
5169,4951030,1,AFP,AFP
5170,4951030,2,AFP,AFP
5171,4951030,3,AFP,AFP
5172,5008211,1,UNK,NTP
5173,5008245,1,PC,AFP
5174,5008501,1,AFP,PC
5175,5008689,1,UNK,NTP
5176,5023956,1,AFP,AFP
5177,5024126,1,AFP,AFP
5178,5024138,1,AFP,AFP
5179,5024138,2,AFP,AFP
5180,5036538,1,UNK,AFP
5181,5036705,1,PC,PC
5182,5036761,1,AFP,AFP
5183,5036761,2,AFP,AFP
5184,5091075,1,NTP,NTP
5185,5091614,1,AFP,AFP
5186,5091614,2,AFP,AFP
5187,5092266,1,PC,PC
5188,5113822,1,PC,PC
5189,5113822,2,PC,PC
5190,5114470,1,NTP,NTP
5191,5114623,1,AFP,AFP
5192,5115178,1,AFP,AFP
5193,5167392,1,NTP,NTP
5194,5167392,2,AFP,AFP
5195,5167392,3,AFP,AFP
5196,5167392,4,UNK,NTP
5197,5185897,2,PC,PC
5198,5185897,3,PC,PC
5199,5192090,1,UNK,NTP
5200,5209669,1,UNK,NTP
5201,5209712,1,AFP,AFP
5202,5209712,2,AFP,AFP
5203,5209845,1,PC,PC
5204,5219234,1,PC,PC
5205,5219234,2,PC,PC
5206,5219234,3,PC,PC
5207,5219234,4,PC,PC
5208,5271224,1,NTP,NTP
5209,5271224,2,AFP,AFP
5210,5271224,3,AFP,AFP
5211,5271224,4,NTP,NTP
5212,5288937,2,AFP,AFP
5213,5289854,1,PC,PC
5214,5289854,2,PC,PC
5215,5289857,1,AFP,AFP
5216,5303557,1,AFP,AFP
5217,5304184,1,AFP,AFP
5218,5304184,2,AFP,AFP
5219,5309849,2,UNK,NTP
5220,5310172,1,NTP,NTP
5221,5310172,2,NTP,NTP
5222,5310435,1,UNK,AFP
5223,5364071,4,PC,PC
5224,5369827,1,PC,PC
5225,5370023,1,AFP,AFP
5226,5370023,2,AFP,AFP
5227,4939304,1,UNK,AFP
5228,4939346,1,PC,PC
5229,4939346,2,PC,PC
5230,4939533,1,PC,PC
5231,4951249,1,AFP,AFP
5232,4951447,1,AFP,AFP
5233,4951447,2,AFP,AFP
5234,5008954,1,NTP,NTP
5235,5008954,2,AFP,AFP
5236,5008954,3,AFP,AFP
5237,5024177,1,AFP,AFP
5238,5024177,2,AFP,AFP
5239,5024252,1,AFP,AFP
5240,5024268,1,AFP,AFP
5241,5036966,1,AFP,AFP
5242,5036966,2,AFP,AFP
5243,5037068,1,UNK,NTP
5244,5037568,1,NTP,NTP
5245,5092655,1,AFP,AFP
5246,5092799,1,UNK,PC
5247,5092799,2,UNK,PC
5248,5093168,1,UNK,NTP
5249,5115178,2,AFP,AFP
5250,5115379,1,NTP,NTP
5251,5115607,1,NTP,NTP
5252,5171493,1,AFP,AFP
5253,5171493,2,AFP,AFP
5254,5171493,3,UNK,NTP
5255,5192090,2,NTP,NTP
5256,5193077,1,AFP,AFP
5257,5193384,1,AFP,AFP
5258,5193384,2,AFP,AFP
5259,5193386,1,AFP,AFP
5260,5209910,1,AFP,AFP
5261,5209910,2,AFP,AFP
5262,5209910,3,UNK,NTP
5263,5210475,1,AFP,AFP
5264,5219530,1,UNK,AFP
5265,5219533,1,AFP,AFP
5266,5219533,2,AFP,AFP
5267,5219533,3,AFP,AFP
5268,5271608,1,AFP,AFP
5269,5271803,1,UNK,NTP
5270,5271803,2,UNK,NTP
5271,5289959,1,NTP,NTP
5272,5294571,1,AFP,AFP
5273,5294571,2,AFP,AFP
5274,5294571,3,AFP,AFP
5275,5304184,3,UNK,NTP
5276,5304456,1,UNK,NTP
5277,5304548,1,UNK,NTP
5278,5304634,1,NTP,NTP
5279,5310857,1,AFP,AFP
5280,5310857,2,AFP,AFP
5281,5339567,1,PC,PC
5282,5370023,3,NTP,NTP
5283,5370302,1,AFP,AFP
5284,5370302,2,AFP,AFP
5285,4940092,1,NTP,NTP
5286,4940201,1,UNK,AFP
5287,4940217,1,UNK,NTP
5288,4940226,1,NTP,NTP
5289,4951711,1,UNK,NTP
5290,4951877,1,PC,PC
5291,4952226,1,UNK,NTP
5292,4952259,1,AFP,AFP
5293,5008954,4,NTP,NTP
5294,5008954,5,NTP,NTP
5295,5008966,1,UNK,NTP
5296,5009189,1,AFP,AFP
5297,5024292,1,NTP,AFP
5298,5024372,1,UNK,NTP
5299,5024414,1,AFP,AFP
5300,5024450,1,AFP,AFP
5301,5037568,2,NTP,NTP
5302,5038228,1,UNK,NTP
5303,5038228,2,UNK,NTP
5304,5093223,1,NTP,NTP
5305,5094301,1,AFP,AFP
5306,5094301,2,AFP,AFP
5307,5094412,1,PC,PC
5308,5115607,2,NTP,NTP
5309,5115637,1,UNK,NTP
5310,5115637,2,NTP,NTP
5311,5115688,1,UNK,NTP
5312,5171707,1,UNK,PC
5313,5172274,1,UNK,NTP
5314,5174492,1,UNK,NTP
5315,5174492,2,AFP,AFP
5316,5193386,2,AFP,AFP
5317,5193400,1,AFP,AFP
5318,5193439,1,UNK,PC
5319,5193659,1,PC,PC
5320,5211199,1,PC,PC
5321,5211199,2,PC,PC
5322,5211470,1,UNK,AFP
5323,5219708,1,UNK,NTP
5324,5219708,2,UNK,NTP
5325,5219708,3,UNK,NTP
5326,5219774,1,UNK,NTP
5327,5272233,1,PC,PC
5328,5272233,2,PC,PC
5329,5272524,1,NTP,NTP
5330,5272571,1,AFP,AFP
5331,5294739,1,UNK,AFP
5332,5294945,1,PC,PC
5333,5295206,1,UNK,PC
5334,5295670,1,NTP,NTP
5335,5304634,2,NTP,NTP
5336,5304819,1,AFP,AFP
5337,5304819,2,AFP,AFP
5338,5304893,1,UNK,NTP
5339,5340644,1,PC,PC
5340,5340878,1,PC,PC
5341,5342061,1,PC,PC
5342,5342473,1,PC,PC
5343,5370646,1,AFP,AFP
5344,5370646,2,AFP,AFP
5345,5371013,1,NTP,NTP
5346,5371090,1,AFP,NTP
5347,4940438,1,AFP,AFP
5348,4940438,2,AFP,AFP
5349,4944828,1,NTP,NTP
5350,4945035,1,AFP,AFP
5351,4952259,2,AFP,AFP
5352,4952259,3,NTP,NTP
5353,4952341,1,AFP,NTP
5354,5009189,2,AFP,AFP
5355,5009743,1,PC,PC
5356,5010302,1,AFP,AFP
5357,5024455,1,UNK,NTP
5358,5024482,1,AFP,AFP
5359,5025217,1,AFP,AFP
5360,5025217,2,AFP,AFP
5361,5038443,1,NTP,NTP
5362,5038469,1,UNK,NTP
5363,5038469,2,UNK,NTP
5364,5038469,3,NTP,NTP
5365,5094751,1,PC,PC
5366,5094751,2,PC,PC
5367,5094751,3,UNK,NTP
5368,5094944,1,UNK,NTP
5369,5115778,1,NTP,NTP
5370,5119143,1,UNK,NTP
5371,5119143,2,NTP,NTP
5372,5119143,3,NTP,NTP
5373,5174492,3,AFP,AFP
5374,5174677,1,PC,PC
5375,5174858,1,PC,PC
5376,5193735,1,NTP,NTP
5377,5195172,1,AFP,PC
5378,5195945,1,AFP,AFP
5379,5211470,2,UNK,AFP
5380,5211922,1,AFP,AFP
5381,5212220,1,AFP,AFP
5382,5212696,1,AFP,AFP
5383,5219874,1,UNK,NTP
5384,5220201,1,AFP,AFP
5385,5220201,2,AFP,AFP
5386,5272590,1,UNK,NTP
5387,5272673,1,AFP,AFP
5388,5272673,2,AFP,AFP
5389,5296455,1,NTP,NTP
5390,5296647,1,UNK,NTP
5391,5296692,1,UNK,NTP
5392,5305128,1,AFP,AFP
5393,5305128,2,AFP,AFP
5394,5305148,1,NTP,NTP
5395,5305237,1,UNK,NTP
5396,5343976,1,UNK,AFP
5397,5343997,1,UNK,NTP
5398,5343997,2,UNK,NTP
5399,5347537,1,UNK,AFP
5400,5371492,1,AFP,AFP
5401,5371492,2,AFP,AFP
5402,5371676,1,UNK,NTP
5403,5371776,1,PC,PC
5404,4945107,1,AFP,AFP
5405,4945107,2,AFP,AFP
5406,4945266,1,UNK,NTP
5407,4952341,2,AFP,AFP
5408,4952341,3,AFP,AFP
5409,4952608,1,AFP,AFP
5410,4952608,2,AFP,AFP
5411,5010302,2,AFP,AFP
5412,5014753,1,AFP,AFP
5413,5014753,2,AFP,AFP
5414,5014903,1,AFP,AFP
5415,5025234,1,NTP,NTP
5416,5025234,2,NTP,NTP
5417,5025294,1,AFP,AFP
5418,5038493,1,AFP,AFP
5419,5038493,2,AFP,AFP
5420,5039129,1,AFP,AFP
5421,5039228,1,PC,PC
5422,5094944,2,UNK,NTP
5423,5095082,1,PC,PC
5424,5095098,1,UNK,NTP
5425,5095232,1,UNK,NTP
5426,5119619,1,AFP,AFP
5427,5120087,1,PC,PC
5428,5120165,1,AFP,AFP
5429,5174920,1,AFP,AFP
5430,5174920,2,AFP,AFP
5431,5175024,1,PC,PC
5432,5175986,1,AFP,PC
5433,5196646,1,AFP,AFP
5434,5196646,2,AFP,AFP
5435,5196787,1,AFP,AFP
5436,5196787,2,UNK,NTP
5437,5212696,2,AFP,AFP
5438,5212696,3,AFP,AFP
5439,5212696,4,UNK,NTP
5440,5212962,1,NTP,NTP
5441,5220762,1,NTP,NTP
5442,5220979,1,AFP,AFP
5443,5220979,2,AFP,AFP
5444,5252423,1,PC,PC
5445,5272673,3,AFP,AFP
5446,5272878,1,PC,PC
5447,5273195,1,UNK,NTP
5448,5273625,1,NTP,NTP
5449,5296692,2,AFP,AFP
5450,5296692,3,AFP,AFP
5451,5296943,1,UNK,NTP
5452,5297298,1,AFP,PC
5453,5305240,1,UNK,AFP
5454,5305404,1,AFP,AFP
5455,5305404,2,AFP,AFP
5456,5347784,1,UNK,AFP
5457,5350244,1,PC,PC
5458,5350447,1,AFP,AFP
5459,5371776,2,PC,PC
5460,5371776,3,PC,PC
5461,5371776,4,PC,PC
5462,5371777,1,PC,PC
5463,4945285,1,NTP,NTP
5464,4945346,1,AFP,AFP
5465,4945346,2,AFP,AFP
5466,4945547,1,AFP,NTP
5467,4953173,1,UNK,NTP
5468,4953372,1,UNK,NTP
5469,4953696,1,UNK,NTP
5470,5015459,1,PC,PC
5471,5015913,1,AFP,AFP
5472,5016163,1,AFP,AFP
5473,5017058,1,UNK,AFP
5474,5025294,2,AFP,AFP
5475,5025294,3,NTP,NTP
5476,5025464,1,NTP,NTP
5477,5025692,1,UNK,NTP
5478,5039441,1,AFP,AFP
5479,5039441,2,AFP,AFP
5480,5039687,1,UNK,NTP
5481,5040077,1,PC,PC
5482,5095269,1,UNK,AFP
5483,5095635,1,PC,PC
5484,5096053,1,PC,PC
5485,5120165,2,AFP,AFP
5486,5120225,1,UNK,NTP
5487,5120225,2,AFP,AFP
5488,5120225,3,AFP,AFP
5489,5176531,1,AFP,AFP
5490,5176531,2,AFP,AFP
5491,5177020,1,UNK,NTP
5492,5196787,3,AFP,AFP
5493,5196851,1,AFP,AFP
5494,5196851,2,AFP,AFP
5495,5196864,1,AFP,PC
5496,5212962,2,AFP,AFP
5497,5212962,3,AFP,AFP
5498,5212962,4,AFP,AFP
5499,5213157,1,NTP,NTP
5500,5252423,2,PC,PC
5501,5253014,1,UNK,NTP
5502,5253740,1,AFP,AFP
5503,5273973,1,NTP,NTP
5504,5280587,1,PC,PC
5505,5280983,1,NTP,NTP
5506,5281113,1,PC,PC
5507,5297343,1,AFP,AFP
5508,5297343,2,AFP,AFP
5509,5297681,1,AFP,AFP
5510,5297681,2,AFP,AFP
5511,5305451,1,AFP,AFP
5512,5305471,1,AFP,AFP
5513,5305553,1,UNK,NTP
5514,5305553,2,UNK,NTP
5515,5350447,2,AFP,AFP
